#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2023071605003184,BBC,49,56,10,"3,430.00","34,300.00"
2,2023071605003200,CHDC,11,33,19,904.00,"17,176.00"
3,2023071605003161,CHDC,7,52,30,899.20,"26,976.00"
4,2023071605003102,CHDC,20,33,110,904.00,"99,440.00"
5,2023071605003101,CHDC,20,19,180,903.00,"162,540.00"
6,2023071605003100,CHDC,20,4,10,901.00,"9,010.00"
7,2023071605003098,CHDC,14,57,122,899.00,"109,678.00"
8,2023071605002715,CHDC,14,58,10,900.00,"9,000.00"
9,2023071605003035,CHDC,7,18,500,900.00,"450,000.00"
10,2023071605002951,CHDC,14,19,100,900.00,"90,000.00"
11,2023071605002950,CHDC,50,19,10,901.00,"9,010.00"
12,2023071605002949,CHDC,35,19,100,901.10,"90,110.00"
13,2023071605002900,CHDC,11,32,10,903.00,"9,030.00"
14,2023071605002721,CHDC,44,33,62,904.00,"56,048.00"
15,2023071605003185,CIT,11,51,10,"2,089.00","20,890.00"
16,2023071605003183,CIT,57,46,20,"2,089.20","41,784.00"
17,2023071605003171,CIT,57,22,20,"2,089.00","41,780.00"
18,2023071605003166,CIT,1,22,10,"2,089.00","20,890.00"
19,2023071605003158,CIT,58,22,10,"2,089.00","20,890.00"
20,2023071605003150,CIT,53,54,50,"2,088.00","104,400.00"
21,2023071605002739,CIT,59,51,50,"2,092.00","104,600.00"
22,2023071605002724,CIT,53,51,10,"2,092.00","20,920.00"
23,2023071605002903,CIT,14,57,20,"2,091.00","41,820.00"
24,2023071605002901,CIT,35,51,10,"2,092.00","20,920.00"
25,2023071605002832,CIT,59,51,10,"2,092.00","20,920.00"
26,2023071605002759,CIT,4,51,15,"2,092.00","31,380.00"
27,2023071605002746,CIT,35,3,40,"2,091.00","83,640.00"
28,2023071605002745,CIT,8,3,16,"2,091.00","33,456.00"
29,2023071605002909,CIT,35,49,30,"2,090.00","62,700.00"
30,2023071605002908,CIT,1,49,15,"2,090.00","31,350.00"
31,2023071605002907,CIT,41,49,10,"2,090.00","20,900.00"
32,2023071605002906,CIT,7,57,5,"2,090.00","10,450.00"
33,2023071605002905,CIT,1,57,100,"2,090.00","209,000.00"
34,2023071605002904,CIT,44,57,17,"2,090.00","35,530.00"
35,2023071605003014,CIT,38,29,10,"2,090.00","20,900.00"
36,2023071605002989,CIT,38,29,60,"2,090.00","125,400.00"
37,2023071605002988,CIT,21,29,10,"2,090.00","20,900.00"
38,2023071605002956,CIT,45,51,50,"2,092.00","104,600.00"
39,2023071605002944,CIT,35,3,10,"2,090.00","20,900.00"
40,2023071605002943,CIT,35,3,17,"2,090.00","35,530.00"
41,2023071605003052,CIT,48,22,20,"2,090.00","41,800.00"
42,2023071605003050,CIT,57,22,50,"2,090.00","104,500.00"
43,2023071605003049,CIT,6,22,50,"2,090.00","104,500.00"
44,2023071605003037,CIT,38,22,10,"2,090.00","20,900.00"
45,2023071605003015,CIT,38,29,40,"2,090.00","83,600.00"
46,2023071605003109,CIT,29,51,28,"2,088.20","58,469.60"
47,2023071605003087,CIT,19,22,20,"2,089.00","41,780.00"
48,2023071605003081,CIT,56,22,10,"2,089.00","20,890.00"
49,2023071605003065,CIT,11,22,10,"2,089.00","20,890.00"
50,2023071605003149,CIT,42,54,50,"2,088.00","104,400.00"
51,2023071605003147,CIT,43,22,10,"2,089.00","20,890.00"
52,2023071605003121,CIT,14,22,10,"2,089.00","20,890.00"
53,2023071605003112,CIT,54,51,10,"2,088.00","20,880.00"
54,2023071605003111,CIT,57,51,10,"2,088.00","20,880.00"
55,2023071605003110,CIT,47,51,20,"2,088.10","41,762.00"
56,2023071605003118,CMF1,56,13,100,9.38,938.00
57,2023071605003117,CMF1,56,42,100,9.30,930.00
58,2023071605003116,CMF1,56,32,"5,000",9.20,"46,000.00"
59,2023071605003115,CMF1,56,59,"4,900",9.20,"45,080.00"
60,2023071605003114,CMF1,56,50,"3,000",9.02,"27,060.00"
61,2023071605003113,CMF1,56,59,"2,700",9.02,"24,354.00"
62,2023071605003190,ENL,42,41,75,696.00,"52,200.00"
63,2023071605003189,ENL,42,10,10,695.10,"6,951.00"
64,2023071605003188,ENL,42,17,50,694.00,"34,700.00"
65,2023071605003187,ENL,42,57,30,694.00,"20,820.00"
66,2023071605003186,ENL,42,57,35,694.00,"24,290.00"
67,2023071605003160,ENL,5,38,10,690.00,"6,900.00"
68,2023071605002955,ENL,35,14,30,681.00,"20,430.00"
69,2023071605002954,ENL,43,14,20,681.50,"13,630.00"
70,2023071605002716,ENL,58,57,10,682.00,"6,820.00"
71,2023071605003208,HIDCL,58,44,85,184.00,"15,640.00"
72,2023071605003207,HIDCL,58,36,100,184.00,"18,400.00"
73,2023071605003205,HIDCL,53,36,10,184.00,"1,840.00"
74,2023071605003201,HIDCL,43,49,52,183.80,"9,557.60"
75,2023071605003170,HIDCL,43,17,390,183.80,"71,682.00"
76,2023071605003164,HIDCL,34,57,300,183.90,"55,170.00"
77,2023071605002727,HIDCL,41,52,95,183.80,"17,461.00"
78,2023071605002725,HIDCL,32,6,24,183.50,"4,404.00"
79,2023071605002723,HIDCL,32,43,90,183.50,"16,515.00"
80,2023071605002722,HIDCL,1,43,80,183.50,"14,680.00"
81,2023071605002719,HIDCL,1,25,20,183.50,"3,670.00"
82,2023071605002910,HIDCL,34,52,500,183.80,"91,900.00"
83,2023071605002833,HIDCL,32,36,107,183.50,"19,634.50"
84,2023071605002827,HIDCL,32,50,10,183.50,"1,835.00"
85,2023071605002802,HIDCL,32,13,15,183.50,"2,752.50"
86,2023071605002777,HIDCL,43,58,113,183.70,"20,758.10"
87,2023071605002741,HIDCL,32,16,300,183.50,"55,050.00"
88,2023071605003073,HIDCL,58,42,50,183.80,"9,190.00"
89,2023071605003034,HIDCL,32,38,"1,385",183.50,"254,147.50"
90,2023071605003033,HIDCL,1,38,115,183.60,"21,114.00"
91,2023071605002980,HIDCL,58,52,53,183.80,"9,741.40"
92,2023071605002967,HIDCL,32,41,12,183.50,"2,202.00"
93,2023071605002930,HIDCL,49,52,220,183.80,"40,436.00"
94,2023071605003104,HIDCL,34,42,107,183.80,"19,666.60"
95,2023071605003103,HIDCL,34,4,31,183.70,"5,694.70"
96,2023071605003077,HIDCL,26,34,667,183.10,"122,127.70"
97,2023071605003076,HIDCL,54,34,76,183.10,"13,915.60"
98,2023071605003075,HIDCL,52,34,200,183.20,"36,640.00"
99,2023071605003074,HIDCL,32,34,57,183.50,"10,459.50"
100,2023071605003120,HIDCL,43,57,540,183.80,"99,252.00"
101,2023071605003119,HIDCL,34,57,200,183.90,"36,780.00"
102,2023071605003108,HIDCL,34,36,290,184.00,"53,360.00"
103,2023071605003107,HIDCL,34,6,200,184.00,"36,800.00"
104,2023071605003106,HIDCL,34,46,222,183.90,"40,825.80"
105,2023071605003105,HIDCL,34,8,150,183.90,"27,585.00"
106,2023071605002897,KEF,59,49,300,10.17,"3,051.00"
107,2023071605002896,KEF,59,58,"1,000",10.17,"10,170.00"
108,2023071605002895,KEF,59,49,500,10.17,"5,085.00"
109,2023071605002894,KEF,59,17,"1,000",10.17,"10,170.00"
110,2023071605002893,KEF,59,43,100,10.15,"1,015.00"
111,2023071605002892,KEF,59,17,"10,000",10.14,"101,400.00"
112,2023071605002837,KEF,59,58,500,9.60,"4,800.00"
113,2023071605002836,KEF,59,38,100,9.60,960.00
114,2023071605002835,KEF,59,34,300,9.60,"2,880.00"
115,2023071605002843,KEF,59,38,300,9.60,"2,880.00"
116,2023071605002842,KEF,59,35,100,9.60,960.00
117,2023071605002841,KEF,59,52,100,9.60,960.00
118,2023071605002840,KEF,59,58,100,9.60,960.00
119,2023071605002839,KEF,59,43,"4,289",9.60,"41,174.40"
120,2023071605002838,KEF,59,32,"5,000",9.60,"48,000.00"
121,2023071605002849,KEF,59,41,100,9.75,975.00
122,2023071605002848,KEF,59,34,"1,000",9.70,"9,700.00"
123,2023071605002847,KEF,59,38,250,9.70,"2,425.00"
124,2023071605002846,KEF,59,11,"6,450",9.65,"62,242.50"
125,2023071605002845,KEF,59,34,500,9.60,"4,800.00"
126,2023071605002844,KEF,59,57,100,9.60,960.00
127,2023071605002855,KEF,59,49,100,9.79,979.00
128,2023071605002854,KEF,59,49,700,9.79,"6,853.00"
129,2023071605002853,KEF,59,49,550,9.79,"5,384.50"
130,2023071605002852,KEF,59,56,100,9.79,979.00
131,2023071605002851,KEF,59,6,150,9.79,"1,468.50"
132,2023071605002850,KEF,59,48,500,9.79,"4,895.00"
133,2023071605002861,KEF,59,38,560,9.80,"5,488.00"
134,2023071605002860,KEF,59,44,100,9.80,980.00
135,2023071605002859,KEF,59,38,"1,000",9.80,"9,800.00"
136,2023071605002858,KEF,59,45,100,9.80,980.00
137,2023071605002857,KEF,59,49,200,9.79,"1,958.00"
138,2023071605002856,KEF,59,10,"2,000",9.79,"19,580.00"
139,2023071605002867,KEF,59,57,500,9.98,"4,990.00"
140,2023071605002866,KEF,59,17,"9,445",9.98,"94,261.10"
141,2023071605002865,KEF,59,56,"2,300",9.96,"22,908.00"
142,2023071605002864,KEF,59,22,"1,300",9.95,"12,935.00"
143,2023071605002863,KEF,59,58,200,9.81,"1,962.00"
